Employee_Name,EmpID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,DOB,Gender,CitizenDesc,ATSI,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences,Employment Type
"Carabbio, Judith",10085,0,1,4,3,0,93396,0,24,Software Engineer,QLD,5/04/1992,Female,Citizen,No,11/11/2018,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,Indeed,Fully Meets,4.96,4,6,0,3,Full-Time
"Carey, Michael  ",10115,1,1,5,3,0,52846,0,19,Production Technician I,QLD,2/02/1988,Male,Citizen,No,31/03/2019,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.43,3,0,0,14,Full-Time
"Carr, Claudia  N",10082,0,2,3,3,0,100031,0,27,Sr. DBA,QLD,6/06/1991,Female,Citizen,No,30/06/2021,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,5,5,6,0,7,Full-Time
"Carter, Michelle ",10040,0,1,6,3,0,71860,0,3,Area Sales Manager,ACT,15/05/1968,Female,Citizen,No,18/08/2019,,N/A-StillEmployed,Active,Sales,John Smith,17,Indeed,Fully Meets,5,5,0,0,7,Full-Time
"Chace, Beatrice ",10067,0,1,5,3,0,61656,0,19,Production Technician I,QLD,2/01/1956,Female,Citizen,No,29/09/2019,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Google Search,Fully Meets,5,4,0,0,11,Full-Time
"Champaigne, Brian",10108,1,1,3,3,0,110929,0,5,BI Director,QLD,9/02/1977,Male,Citizen,No,6/09/2021,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,Indeed,Fully Meets,4.5,5,7,0,8,Full-Time
"Chan, Lin",10210,0,1,5,3,0,54237,0,19,Production Technician I,QLD,12/02/1984,Female,Citizen,No,12/05/2019,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,3.3,4,0,0,11,Full-Time
"Chang, Donovan  E",10154,1,1,5,3,0,60380,0,19,Production Technician I,QLD,24/08/1988,Male,Citizen,No,8/07/2018,,N/A-StillEmployed,Active,Production       ,Webster Butler,,LinkedIn,Fully Meets,3.8,5,0,0,4,Full-Time
"Chigurh, Anton",10200,1,1,6,3,0,66808,0,3,Area Sales Manager,VIC,11/06/1975,Male,Permanent Resident,No,14/05/2017,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Employee Referral,Fully Meets,3,5,0,0,17,Full-Time
"Chivukula, Enola",10240,0,5,5,3,0,64786,1,19,Production Technician I,QLD,27/08/1988,Female,Citizen,No,27/06/2016,15/11/2020,relocation out of area,Voluntarily Terminated,Production       ,Amy Dunn,11,Indeed,Fully Meets,4.3,4,0,0,3,Full-Time
"Cierpiszewski, Caroline  ",10168,0,1,5,3,0,64816,0,19,Production Technician I,QLD,31/05/1993,Female,Work Visa,No,3/10/2016,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,3.58,5,0,0,3,Full-Time
"Clayton, Rick",10220,1,1,3,3,0,68678,0,14,IT Support,QLD,5/09/1990,Male,Citizen,No,5/09/2017,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,6,Indeed,Fully Meets,4.7,3,6,0,2,Full-Time
"Cloninger, Jennifer",10275,0,5,5,3,0,64066,1,20,Production Technician II,QLD,31/08/1986,Female,Citizen,No,16/05/2016,7/01/2018,unhappy,Voluntarily Terminated,Production       ,Brannon Miller,12,Google Search,Fully Meets,4.2,5,0,0,9,Full-Time
"Close, Phil",10269,1,5,5,3,0,59369,1,20,Production Technician II,QLD,25/11/1983,Male,Citizen,No,30/08/2015,26/09/2016,career change,Voluntarily Terminated,Production       ,David Stanley,14,Indeed,Fully Meets,4.2,4,0,0,6,Full-Time
"Clukey, Elijian",10029,1,2,5,4,0,50373,0,19,Production Technician I,QLD,26/08/1985,Male,Citizen,No,6/07/2021,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Employee Referral,Exceeds,4.1,4,0,0,5,Full-Time
"Cockel, James",10261,1,1,5,3,0,63108,0,19,Production Technician I,QLD,8/09/1982,Male,Citizen,No,8/07/2018,,N/A-StillEmployed,Active,Production       ,David Stanley,14,Employee Referral,Fully Meets,4.4,5,0,0,3,Full-Time
"Cole, Spencer",10292,1,4,5,2,0,59144,1,19,Production Technician I,QLD,12/08/1984,Male,Citizen,No,11/07/2016,23/09/2021,performance,Terminated for Cause,Production       ,Kissy Sullivan,20,LinkedIn,Needs Improvement,2,3,0,5,16,Full-Time
"Corleone, Michael",10282,1,1,5,2,0,68051,0,18,Production Manager,QLD,17/12/1980,Male,Citizen,No,20/07/2015,,N/A-StillEmployed,Active,Production       ,Janet King,2,CareerBuilder,Needs Improvement,4.13,2,0,3,3,Full-Time
"Corleone, Vito",10019,1,1,5,4,0,170500,0,10,Director of Operations,QLD,19/03/1988,Male,Citizen,No,5/01/2014,,N/A-StillEmployed,Active,Production       ,Janet King,2,Indeed,Exceeds,3.7,5,0,0,15,Full-Time
"Cornett, Lisa ",10094,0,1,5,3,0,63381,0,19,Production Technician I,QLD,31/03/1982,Female,Citizen,Yes,5/01/2020,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Indeed,Fully Meets,4.73,5,0,0,6,Full-Time
"Costello, Frank",10193,1,1,3,3,0,83552,0,9,Data Analyst,QLD,26/08/1991,Male,Citizen,No,30/03/2020,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,Indeed,Fully Meets,3.04,3,6,0,2,Full-Time
"Crimmings,   Jean",10132,0,2,5,3,0,56149,0,19,Production Technician I,QLD,10/04/1992,Female,Citizen,No,6/07/2021,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Fully Meets,4.12,5,0,0,15,Full-Time
"Cross, Noah",10083,1,1,3,3,0,92329,0,28,Sr. Network Engineer,NSW,9/09/1970,Male,Citizen,No,10/11/2019,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,5,3,4,0,5,Full-Time
"Daneault, Lynn",10099,0,1,6,3,0,65729,0,21,Sales Manager,ACT,19/04/1995,Female,Citizen,No,5/05/2019,,N/A-StillEmployed,Active,Sales,Debra Houlihan,15,Indeed,Fully Meets,4.62,4,0,0,8,Full-Time
"Daniele, Ann  ",10212,0,3,3,3,0,85028,0,28,Sr. Network Engineer,NSW,18/01/1957,Female,Citizen,No,10/11/2019,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,LinkedIn,Fully Meets,3.1,5,8,0,19,Full-Time
"Darson, Jene'ya ",10056,0,1,5,3,0,57583,0,19,Production Technician I,QLD,5/11/1983,Female,Citizen,No,2/07/2017,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,5,3,0,0,1,Full-Time
"Davis, Daniel",10143,1,1,5,3,0,56294,0,20,Production Technician II,QLD,14/09/1984,Male,Permanent Resident,No,7/11/2016,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,3.96,4,0,0,6,Full-Time
"Dee, Randy",10311,1,1,6,1,0,56991,0,19,Production Technician I,QLD,15/04/1993,Male,Citizen,No,9/07/2023,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Indeed,Fully Meets,4.3,4,3,2,2,Full-Time
"DeGweck,  James",10070,1,5,5,3,0,55722,1,19,Production Technician I,QLD,31/10/1982,Male,Citizen,No,16/05/2016,8/06/2021,unhappy,Voluntarily Terminated,Production       ,Webster Butler,39,Indeed,Fully Meets,5,4,0,0,14,Full-Time
"Del Bosque, Keyla",10155,0,1,4,3,0,101199,0,24,Software Engineer,QLD,5/07/1984,Female,Citizen,No,9/01/2017,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,CareerBuilder,Fully Meets,3.79,5,5,0,8,Full-Time
"Delarge, Alex",10306,1,1,6,1,0,61568,0,3,Area Sales Manager,NSW,2/11/1980,Male,Citizen,No,29/09/2019,,N/A-StillEmployed,Active,Sales,John Smith,17,Indeed,PIP,1.93,3,0,6,5,Full-Time
"Demita, Carla",10100,0,5,5,3,0,58275,1,20,Production Technician II,QLD,25/02/1956,Female,Citizen,No,4/04/2016,4/11/2020,more money,Voluntarily Terminated,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.62,5,0,0,1,Full-Time
"Desimone, Carl ",10310,1,1,5,1,0,53189,0,19,Production Technician I,QLD,19/04/1972,Male,Citizen,No,7/07/2019,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Indeed,PIP,1.12,2,0,4,9,Full-Time
"DeVito, Tommy",10197,1,1,3,3,0,96820,0,4,BI Developer,QLD,4/09/1988,Male,Citizen,No,15/02/2022,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,3.01,5,7,0,15,Full-Time
"Dickinson, Geoff ",10276,1,1,5,3,0,51259,0,19,Production Technician I,QLD,15/11/1987,Male,Citizen,No,12/05/2019,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.3,4,0,0,1,Full-Time
"Dietrich, Jenna  ",10304,0,1,6,1,0,59231,0,3,Area Sales Manager,NSW,14/05/1992,Female,Citizen,Yes,20/02/2017,,N/A-StillEmployed,Active,Sales,John Smith,17,Website,PIP,2.3,1,0,2,17,Full-Time
"DiNocco, Lily ",10284,0,1,5,2,0,61584,0,19,Production Technician I,QLD,2/12/1983,Female,Citizen,No,7/01/2018,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Indeed,Needs Improvement,3.88,4,0,0,6,Full-Time
"Dobrin, Denisa  S",10207,0,1,5,3,0,46335,0,19,Production Technician I,QLD,7/10/1991,Female,Citizen,Yes,2/04/2017,,N/A-StillEmployed,Active,Production       ,David Stanley,14,CareerBuilder,Fully Meets,3.4,5,0,0,15,Full-Time
"Dolan, Linda",10133,0,1,3,3,0,70621,0,14,IT Support,QLD,18/07/1993,Female,Citizen,No,5/01/2020,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.11,4,6,0,16,Casual 
"Dougall, Eric",10028,1,1,3,4,0,138888,0,13,IT Manager - Support,QLD,9/07/1975,Male,Citizen,No,5/01/2019,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,Indeed,Exceeds,4.3,5,5,0,4,Full-Time
"Driver, Elle",10006,0,1,6,4,0,74241,0,3,Area Sales Manager,NSW,8/11/1993,Female,Citizen,No,10/01/2016,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Indeed,Exceeds,4.77,5,0,0,14,Full-Time
"Dunn, Amy  ",10105,0,1,5,3,0,75188,0,18,Production Manager,QLD,28/11/1978,Female,Citizen,No,18/09/2019,,N/A-StillEmployed,Active,Production       ,Janet King,2,Google Search,Fully Meets,4.52,4,0,0,4,Full-Time
"Dunne, Amy",10211,0,1,5,3,0,62514,0,19,Production Technician I,QLD,23/09/1978,Female,Citizen,No,26/04/2015,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,2.9,3,0,0,6,Fixed Term Part-Time
"Eaton, Marianne",10064,0,5,5,3,0,60070,1,19,Production Technician I,QLD,5/09/1996,Female,Citizen,No,4/04/2016,6/06/2022,military,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,5,3,0,0,7,Fixed Term Part-Time
"Engdahl, Jean",10247,1,1,5,3,0,48888,0,19,Production Technician I,QLD,31/05/1979,Male,Citizen,No,10/11/2019,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.7,5,0,0,8,Fixed Term Part-Time
"England, Rex",10235,1,1,5,3,0,54285,0,19,Production Technician I,QLD,25/08/1983,Male,Citizen,No,31/03/2019,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Employee Referral,Fully Meets,4.2,3,0,0,3,Casual 
"Erilus, Angela",10299,0,1,5,1,0,56847,0,20,Production Technician II,QLD,25/08/1994,Female,Citizen,No,7/07/2019,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Indeed,PIP,3,1,0,2,5,Full-Time
"Estremera, Miguel",10280,1,4,5,2,0,60340,1,19,Production Technician I,QLD,2/09/1988,Male,Citizen,No,2/04/2017,27/09/2023,attendance,Terminated for Cause,Production       ,Michael Albert,22,Google Search,Needs Improvement,5,4,0,5,16,Full-Time
"Evensen, April",10296,0,4,5,2,0,59124,1,19,Production Technician I,QLD,6/05/1994,Female,Citizen,No,17/02/2019,25/02/2023,"no-call, no-show",Terminated for Cause,Production       ,Elijiah Gray,16,Google Search,Needs Improvement,2.3,3,0,5,19,Full-Time
"Exantus, Susan",10290,0,4,4,2,0,99280,1,24,Software Engineer,QLD,15/05/1992,Female,Citizen,No,2/05/2016,5/06/2018,attendance,Terminated for Cause,Software Engineering,Alex Sweetwater,10,Indeed,Needs Improvement,2.1,5,4,4,19,Full-Time
"Faller, Megan ",10263,0,1,5,3,0,71776,0,20,Production Technician II,QLD,22/09/1983,Female,Citizen,No,7/07/2019,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,LinkedIn,Fully Meets,4.4,5,0,0,17,Full-Time
"Fancett, Nicole",10136,0,1,5,3,0,65902,0,20,Production Technician II,QLD,27/09/1992,Female,Citizen,No,17/02/2019,,N/A-StillEmployed,Active,Production       ,Webster Butler,,LinkedIn,Fully Meets,4,4,0,0,7,Full-Time
"Ferguson, Susan",10189,0,5,5,3,0,57748,1,19,Production Technician I,QLD,14/04/1960,Female,Citizen,No,7/11/2016,17/05/2021,military,Voluntarily Terminated,Production       ,Webster Butler,39,Google Search,Fully Meets,3.13,3,0,0,16,Full-Time
"Fernandes, Nilson  ",10308,1,1,5,1,0,64057,0,19,Production Technician I,QLD,18/10/1994,Male,Citizen,No,11/05/2020,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Indeed,PIP,1.56,5,0,6,15,Full-Time
"Fett, Boba",10309,1,1,3,1,0,53366,0,15,Network Engineer,QLD,18/06/1992,Male,Citizen,No,30/03/2020,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,LinkedIn,PIP,1.2,3,6,3,2,Full-Time
"Fidelia,  Libby",10049,0,1,5,3,0,58530,0,19,Production Technician I,QLD,16/03/1986,Female,Citizen,No,9/01/2017,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Google Search,Fully Meets,5,5,0,0,19,Full-Time
"Fitzpatrick, Michael  J",10093,1,5,5,3,0,72609,1,20,Production Technician II,QLD,1/10/1986,Male,Citizen,Yes,16/05/2016,24/06/2018,hours,Voluntarily Terminated,Production       ,Amy Dunn,11,Google Search,Fully Meets,4.76,5,0,0,20,Full-Time
"Foreman, Tanya",10163,0,5,5,3,0,55965,1,20,Production Technician II,QLD,8/11/1988,Female,Citizen,No,4/04/2016,9/01/2018,career change,Voluntarily Terminated,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,3.66,3,0,0,6,Full-Time
"Forrest, Alex",10305,1,1,6,3,0,70187,1,3,Area Sales Manager,QLD,7/07/1980,Male,Citizen,No,29/09/2019,19/08/2023,Fatal attraction,Terminated for Cause,Sales,Lynn Daneault,21,Employee Referral,PIP,2,5,0,4,7,Full-Time
"Foss, Jason",10015,1,1,3,4,0,178000,0,12,IT Director,QLD,5/07/1985,Male,Citizen,No,15/04/2016,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,Indeed,Exceeds,5,5,5,0,15,Full-Time
"Foster-Baker, Amy",10080,0,1,1,3,0,99351,0,26,Sr. Accountant,QLD,16/04/1984,Female,Citizen,no,5/01/2014,,N/A-StillEmployed,Active,Admin Offices,Board of Directors,9,Other,Fully Meets,5,3,2,0,3,Full-Time
"Fraval, Maruk ",10258,1,1,6,3,0,67251,0,3,Area Sales Manager,NSW,28/08/1968,Male,Citizen,No,6/09/2016,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,CareerBuilder,Fully Meets,4.3,3,0,2,7,Full-Time
"Galia, Lisa",10273,0,1,3,3,0,65707,0,14,IT Support,NSW,6/07/1973,Female,Citizen,No,1/05/2015,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,6,LinkedIn,Fully Meets,4.7,4,5,0,1,Casual 
"Garcia, Raul",10111,1,1,5,3,0,52249,0,19,Production Technician I,QLD,15/09/1990,Male,Citizen,Yes,30/03/2020,,N/A-StillEmployed,Active,Production       ,David Stanley,14,Employee Referral,Fully Meets,4.5,3,0,0,5,Full-Time
"Gaul, Barbara",10257,0,1,5,3,0,53171,0,19,Production Technician I,QLD,2/12/1988,Female,Citizen,Yes,16/05/2016,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.2,4,0,0,12,Full-Time
"Gentry, Mildred",10159,0,1,5,3,0,51337,0,19,Production Technician I,QLD,1/10/1995,Female,Citizen,No,30/03/2020,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Fully Meets,3.73,3,0,0,19,Full-Time
"Gerke, Melisa",10122,0,5,5,3,1,51505,1,19,Production Technician I,QLD,15/05/1975,Female,Citizen,No,7/11/2016,15/11/2021,hours,Voluntarily Terminated,Production       ,Elijiah Gray,16,Diversity Job Fair,Fully Meets,4.24,4,0,0,2,Full-Time
